"ICD-10-CM CODE","CCS CATEGORY","CCS CATEGORY DESCRIPTION"
"A281","3","Bacterial infection; unspecified site"
"A282","3","Bacterial infection; unspecified site"
"A288","3","Bacterial infection; unspecified site"
"A289","3","Bacterial infection; unspecified site"
"A300","3","Bacterial infection; unspecified site"
"A301","3","Bacterial infection; unspecified site"
"A302","3","Bacterial infection; unspecified site"
"A303","3","Bacterial infection; unspecified site"
"A304","3","Bacterial infection; unspecified site"
"A305","3","Bacterial infection; unspecified site"
"A308","3","Bacterial infection; unspecified site"
"A309","3","Bacterial infection; unspecified site"
"A312","3","Bacterial infection; unspecified site"
"A318","3","Bacterial infection; unspecified site"
"A319","3","Bacterial infection; unspecified site"
"A320","3","Bacterial infection; unspecified site"
"A3281","3","Bacterial infection; unspecified site"
"A3282","3","Bacterial infection; unspecified site"
"A3289","3","Bacterial infection; unspecified site"
"A329","3","Bacterial infection; unspecified site"
"A35","3","Bacterial infection; unspecified site"
"A3682","3","Bacterial infection; unspecified site"
"A3683","3","Bacterial infection; unspecified site"
"A3684","3","Bacterial infection; unspecified site"
"A3689","3","Bacterial infection; unspecified site"
"A369","3","Bacterial infection; unspecified site"
"A3700","3","Bacterial infection; unspecified site"
"A3710","3","Bacterial infection; unspecified site"
"A3780","3","Bacterial infection; unspecified site"
"A3781","3","Bacterial infection; unspecified site"
"A3790","3","Bacterial infection; unspecified site"
"A3791","3","Bacterial infection; unspecified site"
"A380","3","Bacterial infection; unspecified site"
"A388","3","Bacterial infection; unspecified site"
"A389","3","Bacterial infection; unspecified site"
"A391","3","Bacterial infection; unspecified site"
"A3982","3","Bacterial infection; unspecified site"
"A3989","3","Bacterial infection; unspecified site"
"A399","3","Bacterial infection; unspecified site"
"A420","3","Bacterial infection; unspecified site"
"A421","3","Bacterial infection; unspecified site"
"A422","3","Bacterial infection; unspecified site"
"A4289","3","Bacterial infection; unspecified site"
"A429","3","Bacterial infection; unspecified site"
"A438","3","Bacterial infection; unspecified site"
"A439","3","Bacterial infection; unspecified site"
"A440","3","Bacterial infection; unspecified site"
"A441","3","Bacterial infection; unspecified site"
"A448","3","Bacterial infection; unspecified site"
"A449","3","Bacterial infection; unspecified site"
"A480","3","Bacterial infection; unspecified site"
"A482","3","Bacterial infection; unspecified site"
"A483","3","Bacterial infection; unspecified site"
"A484","3","Bacterial infection; unspecified site"
"A4852","3","Bacterial infection; unspecified site"
"A488","3","Bacterial infection; unspecified site"
"A4901","3","Bacterial infection; unspecified site"
"A4902","3","Bacterial infection; unspecified site"
"A491","3","Bacterial infection; unspecified site"
"A492","3","Bacterial infection; unspecified site"
"A493","3","Bacterial infection; unspecified site"
"A498","3","Bacterial infection; unspecified site"
"A499","3","Bacterial infection; unspecified site"
"A70","3","Bacterial infection; unspecified site"
"A7489","3","Bacterial infection; unspecified site"
"A749","3","Bacterial infection; unspecified site"
"A78","3","Bacterial infection; unspecified site"
"B471","3","Bacterial infection; unspecified site"
"B479","3","Bacterial infection; unspecified site"
"B950","3","Bacterial infection; unspecified site"
"B951","3","Bacterial infection; unspecified site"
"B952","3","Bacterial infection; unspecified site"
"B953","3","Bacterial infection; unspecified site"
"B954","3","Bacterial infection; unspecified site"
"B955","3","Bacterial infection; unspecified site"
"B9561","3","Bacterial infection; unspecified site"
"B9562","3","Bacterial infection; unspecified site"
"B957","3","Bacterial infection; unspecified site"
"B958","3","Bacterial infection; unspecified site"
"B960","3","Bacterial infection; unspecified site"
"B961","3","Bacterial infection; unspecified site"
"B9620","3","Bacterial infection; unspecified site"
"B9621","3","Bacterial infection; unspecified site"
"B9622","3","Bacterial infection; unspecified site"
"B9623","3","Bacterial infection; unspecified site"
"B9629","3","Bacterial infection; unspecified site"
"B963","3","Bacterial infection; unspecified site"
"B964","3","Bacterial infection; unspecified site"
"B965","3","Bacterial infection; unspecified site"
"B966","3","Bacterial infection; unspecified site"
"B967","3","Bacterial infection; unspecified site"
"B9681","3","Bacterial infection; unspecified site"
"B9682","3","Bacterial infection; unspecified site"
"B9689","3","Bacterial infection; unspecified site"
"I00","3","Bacterial infection; unspecified site"
"I029","3","Bacterial infection; unspecified site"
"K9081","3","Bacterial infection; unspecified site"
"R7881","3","Bacterial infection; unspecified site"
"Z1610","3","Bacterial infection; unspecified site"
"Z1611","3","Bacterial infection; unspecified site"
"Z1612","3","Bacterial infection; unspecified site"
"Z1619","3","Bacterial infection; unspecified site"
"Z1620","3","Bacterial infection; unspecified site"
"Z1621","3","Bacterial infection; unspecified site"
"Z1622","3","Bacterial infection; unspecified site"
"Z1623","3","Bacterial infection; unspecified site"
"Z1624","3","Bacterial infection; unspecified site"
"Z1629","3","Bacterial infection; unspecified site"
"Z1630","3","Bacterial infection; unspecified site"
"Z16341","3","Bacterial infection; unspecified site"
"Z16342","3","Bacterial infection; unspecified site"
"Z1635","3","Bacterial infection; unspecified site"
"Z1639","3","Bacterial infection; unspecified site"
"Z8614","3","Bacterial infection; unspecified site"
"B350","4","Mycoses"
"B351","4","Mycoses"
"B352","4","Mycoses"
"B353","4","Mycoses"
"B354","4","Mycoses"
"B355","4","Mycoses"
"B356","4","Mycoses"
"B358","4","Mycoses"
"B359","4","Mycoses"
"B360","4","Mycoses"
"B361","4","Mycoses"
"B362","4","Mycoses"
"B363","4","Mycoses"
"B368","4","Mycoses"
"B369","4","Mycoses"
"B370","4","Mycoses"
"B372","4","Mycoses"
"B373","4","Mycoses"
"B3741","4","Mycoses"
"B3742","4","Mycoses"
"B3749","4","Mycoses"
"B3781","4","Mycoses"
"B3782","4","Mycoses"
"B3783","4","Mycoses"
"B3784","4","Mycoses"
"B3789","4","Mycoses"
"B379","4","Mycoses"
"B383","4","Mycoses"
"B387","4","Mycoses"
"B3881","4","Mycoses"
"B3889","4","Mycoses"
"B389","4","Mycoses"
"B393","4","Mycoses"
"B394","4","Mycoses"
"B395","4","Mycoses"
"B399","4","Mycoses"
"B400","4","Mycoses"
"B401","4","Mycoses"
"B402","4","Mycoses"
"B403","4","Mycoses"
"B407","4","Mycoses"
"B4089","4","Mycoses"
"B409","4","Mycoses"
"B410","4","Mycoses"
"B417","4","Mycoses"
"B418","4","Mycoses"
"B419","4","Mycoses"
"B420","4","Mycoses"
"B421","4","Mycoses"
"B427","4","Mycoses"
"B4281","4","Mycoses"
"B4282","4","Mycoses"
"B4289","4","Mycoses"
"B429","4","Mycoses"
"B430","4","Mycoses"
"B431","4","Mycoses"
"B432","4","Mycoses"
"B438","4","Mycoses"
"B439","4","Mycoses"
"B440","4","Mycoses"
"B441","4","Mycoses"
"B442","4","Mycoses"
"B447","4","Mycoses"
"B4489","4","Mycoses"
"B449","4","Mycoses"
"B450","4","Mycoses"
"B452","4","Mycoses"
"B453","4","Mycoses"
"B457","4","Mycoses"
"B458","4","Mycoses"
"B459","4","Mycoses"
"B460","4","Mycoses"
"B461","4","Mycoses"
"B462","4","Mycoses"
"B463","4","Mycoses"
"B464","4","Mycoses"
"B465","4","Mycoses"
"B468","4","Mycoses"
"B469","4","Mycoses"
"B470","4","Mycoses"
"B480","4","Mycoses"
"B481","4","Mycoses"
"B482","4","Mycoses"
"B483","4","Mycoses"
"B484","4","Mycoses"
"B488","4","Mycoses"
"B49","4","Mycoses"
"B20","5","HIV infection"
"B9735","5","HIV infection"
"R75","5","HIV infection"
"Z21","5","HIV infection"
"B150","6","Hepatitis"
"B159","6","Hepatitis"
"B160","6","Hepatitis"
"B161","6","Hepatitis"
"B162","6","Hepatitis"
"B169","6","Hepatitis"
"B170","6","Hepatitis"
"B1710","6","Hepatitis"
"B1711","6","Hepatitis"
"B172","6","Hepatitis"
"B178","6","Hepatitis"
"B179","6","Hepatitis"
"B180","6","Hepatitis"
"B181","6","Hepatitis"
"B182","6","Hepatitis"
"B188","6","Hepatitis"
"B189","6","Hepatitis"
"B190","6","Hepatitis"
"B1910","6","Hepatitis"
"B1911","6","Hepatitis"
"B1920","6","Hepatitis"
"B1921","6","Hepatitis"
"B199","6","Hepatitis"
"B251","6","Hepatitis"
"B2681","6","Hepatitis"
"B581","6","Hepatitis"
"B942","6","Hepatitis"
"K712","6","Hepatitis"
"K713","6","Hepatitis"
"K714","6","Hepatitis"
"K7150","6","Hepatitis"
"K7151","6","Hepatitis"
"K716","6","Hepatitis"
"K730","6","Hepatitis"
"K731","6","Hepatitis"
"K732","6","Hepatitis"
"K738","6","Hepatitis"
"K739","6","Hepatitis"
"K752","6","Hepatitis"
"K753","6","Hepatitis"
"K754","6","Hepatitis"
"K7581","6","Hepatitis"
"A6000","7","Viral infection"
"A6001","7","Viral infection"
"A6002","7","Viral infection"
"A6003","7","Viral infection"
"A6004","7","Viral infection"
"A6009","7","Viral infection"
"A601","7","Viral infection"
"A609","7","Viral infection"
"A630","7","Viral infection"
"A820","7","Viral infection"
"A821","7","Viral infection"
"A829","7","Viral infection"
"A90","7","Viral infection"
"A91","7","Viral infection"
"A920","7","Viral infection"
"A921","7","Viral infection"
"A9230","7","Viral infection"
"A9232","7","Viral infection"
"A9239","7","Viral infection"
"A924","7","Viral infection"
"A925","7","Viral infection"
"A928","7","Viral infection"
"A929","7","Viral infection"
"A930","7","Viral infection"
"A931","7","Viral infection"
"A932","7","Viral infection"
"A938","7","Viral infection"
"A94","7","Viral infection"
"A950","7","Viral infection"
"A951","7","Viral infection"
"A959","7","Viral infection"
"A960","7","Viral infection"
"A961","7","Viral infection"
"A962","7","Viral infection"
"A968","7","Viral infection"
"A969","7","Viral infection"
"A980","7","Viral infection"
"A981","7","Viral infection"
"A982","7","Viral infection"
"A983","7","Viral infection"
"A984","7","Viral infection"
"A985","7","Viral infection"
"A988","7","Viral infection"
"A99","7","Viral infection"
"B000","7","Viral infection"
"B001","7","Viral infection"
"B002","7","Viral infection"
"B0081","7","Viral infection"
"B0082","7","Viral infection"
"B0089","7","Viral infection"
"B009","7","Viral infection"
"B0112","7","Viral infection"
"B0181","7","Viral infection"
"B0189","7","Viral infection"
"B019","7","Viral infection"
"B0221","7","Viral infection"
"B0222","7","Viral infection"
"B0223","7","Viral infection"
"B0224","7","Viral infection"
"B0229","7","Viral infection"
"B027","7","Viral infection"
"B028","7","Viral infection"
"B029","7","Viral infection"
"B03","7","Viral infection"
"B04","7","Viral infection"
"B054","7","Viral infection"
"B0589","7","Viral infection"
"B059","7","Viral infection"
"B0600","7","Viral infection"
"B0609","7","Viral infection"
"B0689","7","Viral infection"
"B069","7","Viral infection"
"B070","7","Viral infection"
"B078","7","Viral infection"
"B079","7","Viral infection"
"B08010","7","Viral infection"
"B08011","7","Viral infection"
"B0802","7","Viral infection"
"B0803","7","Viral infection"
"B0804","7","Viral infection"
"B0809","7","Viral infection"
"B081","7","Viral infection"
"B0820","7","Viral infection"
"B0821","7","Viral infection"
"B0822","7","Viral infection"
"B083","7","Viral infection"
"B084","7","Viral infection"
"B085","7","Viral infection"
"B0860","7","Viral infection"
"B0861","7","Viral infection"
"B0862","7","Viral infection"
"B0869","7","Viral infection"
"B0870","7","Viral infection"
"B0871","7","Viral infection"
"B0872","7","Viral infection"
"B0879","7","Viral infection"
"B088","7","Viral infection"
"B09","7","Viral infection"
"B1081","7","Viral infection"
"B1082","7","Viral infection"
"B1089","7","Viral infection"
"B252","7","Viral infection"
"B258","7","Viral infection"
"B259","7","Viral infection"
"B260","7","Viral infection"
"B263","7","Viral infection"
"B2684","7","Viral infection"
"B2689","7","Viral infection"
"B269","7","Viral infection"
"B2700","7","Viral infection"
"B2709","7","Viral infection"
"B2710","7","Viral infection"
"B2719","7","Viral infection"
"B2780","7","Viral infection"
"B2789","7","Viral infection"
"B2790","7","Viral infection"
"B2799","7","Viral infection"
"B330","7","Viral infection"
"B331","7","Viral infection"
"B333","7","Viral infection"
"B334","7","Viral infection"
"B338","7","Viral infection"
"B340","7","Viral infection"
"B341","7","Viral infection"
"B342","7","Viral infection"
"B343","7","Viral infection"
"B344","7","Viral infection"
"B348","7","Viral infection"
"B349","7","Viral infection"
"B970","7","Viral infection"
"B9710","7","Viral infection"
"B9711","7","Viral infection"
"B9712","7","Viral infection"
"B9719","7","Viral infection"
"B9721","7","Viral infection"
"B9729","7","Viral infection"
"B9730","7","Viral infection"
"B9731","7","Viral infection"
"B9732","7","Viral infection"
"B9733","7","Viral infection"
"B9734","7","Viral infection"
"B9739","7","Viral infection"
"B974","7","Viral infection"
"B975","7","Viral infection"
"B976","7","Viral infection"
"B977","7","Viral infection"
"B9781","7","Viral infection"
"B9789","7","Viral infection"
"Z1633","7","Viral infection"
"A270","8","Other infections; including parasitic"
"A279","8","Other infections; including parasitic"
"A5900","8","Other infections; including parasitic"
"A5901","8","Other infections; including parasitic"
"A5902","8","Other infections; including parasitic"
"A5903","8","Other infections; including parasitic"
"A5909","8","Other infections; including parasitic"
"A598","8","Other infections; including parasitic"
"A599","8","Other infections; including parasitic"
"A65","8","Other infections; including parasitic"
"A660","8","Other infections; including parasitic"
"A661","8","Other infections; including parasitic"
"A662","8","Other infections; including parasitic"
"A663","8","Other infections; including parasitic"
"A664","8","Other infections; including parasitic"
"A665","8","Other infections; including parasitic"
"A666","8","Other infections; including parasitic"
"A667","8","Other infections; including parasitic"
"A668","8","Other infections; including parasitic"
"A669","8","Other infections; including parasitic"
"A670","8","Other infections; including parasitic"
"A671","8","Other infections; including parasitic"
"A672","8","Other infections; including parasitic"
"A673","8","Other infections; including parasitic"
"A679","8","Other infections; including parasitic"
"A680","8","Other infections; including parasitic"
"A681","8","Other infections; including parasitic"
"A689","8","Other infections; including parasitic"
"A690","8","Other infections; including parasitic"
"A691","8","Other infections; including parasitic"
"A6920","8","Other infections; including parasitic"
"A6922","8","Other infections; including parasitic"
"A6929","8","Other infections; including parasitic"
"A698","8","Other infections; including parasitic"
"A699","8","Other infections; including parasitic"
"A750","8","Other infections; including parasitic"
"A751","8","Other infections; including parasitic"
"A752","8","Other infections; including parasitic"
"A753","8","Other infections; including parasitic"
"A759","8","Other infections; including parasitic"
"A770","8","Other infections; including parasitic"
"A771","8","Other infections; including parasitic"
"A772","8","Other infections; including parasitic"
"A773","8","Other infections; including parasitic"
"A7740","8","Other infections; including parasitic"
"A7741","8","Other infections; including parasitic"
"A7749","8","Other infections; including parasitic"
"A778","8","Other infections; including parasitic"
"A779","8","Other infections; including parasitic"
"A790","8","Other infections; including parasitic"
"A791","8","Other infections; including parasitic"
"A7981","8","Other infections; including parasitic"
"A7989","8","Other infections; including parasitic"
"A799","8","Other infections; including parasitic"
"B500","8","Other infections; including parasitic"
"B508","8","Other infections; including parasitic"
"B509","8","Other infections; including parasitic"
"B510","8","Other infections; including parasitic"
"B518","8","Other infections; including parasitic"
"B519","8","Other infections; including parasitic"
"B520","8","Other infections; including parasitic"
"B528","8","Other infections; including parasitic"
"B529","8","Other infections; including parasitic"
"B530","8","Other infections; including parasitic"
"B531","8","Other infections; including parasitic"
"B538","8","Other infections; including parasitic"
"B54","8","Other infections; including parasitic"
"B550","8","Other infections; including parasitic"
"B551","8","Other infections; including parasitic"
"B552","8","Other infections; including parasitic"
"B559","8","Other infections; including parasitic"
"B560","8","Other infections; including parasitic"
"B561","8","Other infections; including parasitic"
"B569","8","Other infections; including parasitic"
"B570","8","Other infections; including parasitic"
"B571","8","Other infections; including parasitic"
"B572","8","Other infections; including parasitic"
"B5730","8","Other infections; including parasitic"
"B5739","8","Other infections; including parasitic"
"B5740","8","Other infections; including parasitic"
"B5749","8","Other infections; including parasitic"
"B575","8","Other infections; including parasitic"
"B5800","8","Other infections; including parasitic"
"B5882","8","Other infections; including parasitic"
"B5883","8","Other infections; including parasitic"
"B5889","8","Other infections; including parasitic"
"B589","8","Other infections; including parasitic"
"B600","8","Other infections; including parasitic"
"B6010","8","Other infections; including parasitic"
"B6012","8","Other infections; including parasitic"
"B6013","8","Other infections; including parasitic"
"B6019","8","Other infections; including parasitic"
"B602","8","Other infections; including parasitic"
"B608","8","Other infections; including parasitic"
"B64","8","Other infections; including parasitic"
"B650","8","Other infections; including parasitic"
"B651","8","Other infections; including parasitic"
"B652","8","Other infections; including parasitic"
"B658","8","Other infections; including parasitic"
"B659","8","Other infections; including parasitic"
"B660","8","Other infections; including parasitic"
"B661","8","Other infections; including parasitic"
"B662","8","Other infections; including parasitic"
"B663","8","Other infections; including parasitic"
"B664","8","Other infections; including parasitic"
"B665","8","Other infections; including parasitic"
"B668","8","Other infections; including parasitic"
"B669","8","Other infections; including parasitic"
"B670","8","Other infections; including parasitic"
"B671","8","Other infections; including parasitic"
"B672","8","Other infections; including parasitic"
"B6731","8","Other infections; including parasitic"
"B6732","8","Other infections; including parasitic"
"B6739","8","Other infections; including parasitic"
"B674","8","Other infections; including parasitic"
"B675","8","Other infections; including parasitic"
"B6761","8","Other infections; including parasitic"
"B6769","8","Other infections; including parasitic"
"B677","8","Other infections; including parasitic"
"B678","8","Other infections; including parasitic"
"B6790","8","Other infections; including parasitic"
"B6799","8","Other infections; including parasitic"
"B680","8","Other infections; including parasitic"
"B681","8","Other infections; including parasitic"
"B689","8","Other infections; including parasitic"
"B690","8","Other infections; including parasitic"
"B691","8","Other infections; including parasitic"
"B6981","8","Other infections; including parasitic"
"B6989","8","Other infections; including parasitic"
"B699","8","Other infections; including parasitic"
"B700","8","Other infections; including parasitic"
"B701","8","Other infections; including parasitic"
"B710","8","Other infections; including parasitic"
"B711","8","Other infections; including parasitic"
"B718","8","Other infections; including parasitic"
"B719","8","Other infections; including parasitic"
"B72","8","Other infections; including parasitic"
"B7300","8","Other infections; including parasitic"
"B7301","8","Other infections; including parasitic"
"B7302","8","Other infections; including parasitic"
"B7309","8","Other infections; including parasitic"
"B731","8","Other infections; including parasitic"
"B740","8","Other infections; including parasitic"
"B741","8","Other infections; including parasitic"
"B742","8","Other infections; including parasitic"
"B743","8","Other infections; including parasitic"
"B744","8","Other infections; including parasitic"
"B748","8","Other infections; including parasitic"
"B749","8","Other infections; including parasitic"
"B75","8","Other infections; including parasitic"
"B760","8","Other infections; including parasitic"
"B761","8","Other infections; including parasitic"
"B768","8","Other infections; including parasitic"
"B769","8","Other infections; including parasitic"
"B770","8","Other infections; including parasitic"
"B7789","8","Other infections; including parasitic"
"B779","8","Other infections; including parasitic"
"B780","8","Other infections; including parasitic"
"B781","8","Other infections; including parasitic"
"B787","8","Other infections; including parasitic"
"B789","8","Other infections; including parasitic"
"B79","8","Other infections; including parasitic"
"B80","8","Other infections; including parasitic"
"B810","8","Other infections; including parasitic"
"B811","8","Other infections; including parasitic"
"B812","8","Other infections; including parasitic"
"B813","8","Other infections; including parasitic"
"B814","8","Other infections; including parasitic"
"B818","8","Other infections; including parasitic"
"B820","8","Other infections; including parasitic"
"B829","8","Other infections; including parasitic"
"B830","8","Other infections; including parasitic"
"B831","8","Other infections; including parasitic"
"B832","8","Other infections; including parasitic"
"B833","8","Other infections; including parasitic"
"B834","8","Other infections; including parasitic"
"B838","8","Other infections; including parasitic"
"B839","8","Other infections; including parasitic"
"B850","8","Other infections; including parasitic"
"B851","8","Other infections; including parasitic"
"B852","8","Other infections; including parasitic"
"B853","8","Other infections; including parasitic"
"B854","8","Other infections; including parasitic"
"B86","8","Other infections; including parasitic"
"B870","8","Other infections; including parasitic"
"B871","8","Other infections; including parasitic"
"B872","8","Other infections; including parasitic"
"B873","8","Other infections; including parasitic"
"B874","8","Other infections; including parasitic"
"B8781","8","Other infections; including parasitic"
"B8782","8","Other infections; including parasitic"
"B8789","8","Other infections; including parasitic"
"B879","8","Other infections; including parasitic"
"B880","8","Other infections; including parasitic"
"B881","8","Other infections; including parasitic"
"B882","8","Other infections; including parasitic"
"B883","8","Other infections; including parasitic"
"B888","8","Other infections; including parasitic"
"B889","8","Other infections; including parasitic"
"B89","8","Other infections; including parasitic"
"B92","8","Other infections; including parasitic"
"B948","8","Other infections; including parasitic"
"B949","8","Other infections; including parasitic"
"B998","8","Other infections; including parasitic"
"B999","8","Other infections; including parasitic"
"L946","8","Other infections; including parasitic"
"Z1631","8","Other infections; including parasitic"
"Z1632","8","Other infections; including parasitic"
"Z8613","8","Other infections; including parasitic"
"Z8619","8","Other infections; including parasitic"
"A5001","9","Sexually transmitted infections (not HIV or hepatitis)"
"A5002","9","Sexually transmitted infections (not HIV or hepatitis)"
"A5003","9","Sexually transmitted infections (not HIV or hepatitis)"
"A5004","9","Sexually transmitted infections (not HIV or hepatitis)"
"A5005","9","Sexually transmitted infections (not HIV or hepatitis)"
"A5006","9","Sexually transmitted infections (not HIV or hepatitis)"
"A5007","9","Sexually transmitted infections (not HIV or hepatitis)"
"A5008","9","Sexually transmitted infections (not HIV or hepatitis)"
"A5009","9","Sexually transmitted infections (not HIV or hepatitis)"
"A501","9","Sexually transmitted infections (not HIV or hepatitis)"
"A502","9","Sexually transmitted infections (not HIV or hepatitis)"
"A5030","9","Sexually transmitted infections (not HIV or hepatitis)"
"A5031","9","Sexually transmitted infections (not HIV or hepatitis)"
"A5032","9","Sexually transmitted infections (not HIV or hepatitis)"
"A5039","9","Sexually transmitted infections (not HIV or hepatitis)"
"A5040","9","Sexually transmitted infections (not HIV or hepatitis)"
"A5041","9","Sexually transmitted infections (not HIV or hepatitis)"
"A5042","9","Sexually transmitted infections (not HIV or hepatitis)"
"A5043","9","Sexually transmitted infections (not HIV or hepatitis)"
"A5044","9","Sexually transmitted infections (not HIV or hepatitis)"
"A5045","9","Sexually transmitted infections (not HIV or hepatitis)"
"A5049","9","Sexually transmitted infections (not HIV or hepatitis)"
"A5051","9","Sexually transmitted infections (not HIV or hepatitis)"
"A5052","9","Sexually transmitted infections (not HIV or hepatitis)"
"A5053","9","Sexually transmitted infections (not HIV or hepatitis)"
"A5054","9","Sexually transmitted infections (not HIV or hepatitis)"
"A5055","9","Sexually transmitted infections (not HIV or hepatitis)"
"A5056","9","Sexually transmitted infections (not HIV or hepatitis)"
"A5057","9","Sexually transmitted infections (not HIV or hepatitis)"
"A5059","9","Sexually transmitted infections (not HIV or hepatitis)"
"A506","9","Sexually transmitted infections (not HIV or hepatitis)"
"A507","9","Sexually transmitted infections (not HIV or hepatitis)"
"A509","9","Sexually transmitted infections (not HIV or hepatitis)"
"A510","9","Sexually transmitted infections (not HIV or hepatitis)"
"A511","9","Sexually transmitted infections (not HIV or hepatitis)"
"A512","9","Sexually transmitted infections (not HIV or hepatitis)"
"A5131","9","Sexually transmitted infections (not HIV or hepatitis)"
"A5132","9","Sexually transmitted infections (not HIV or hepatitis)"
"A5139","9","Sexually transmitted infections (not HIV or hepatitis)"
"A5141","9","Sexually transmitted infections (not HIV or hepatitis)"
"A5142","9","Sexually transmitted infections (not HIV or hepatitis)"
"A5143","9","Sexually transmitted infections (not HIV or hepatitis)"
"A5144","9","Sexually transmitted infections (not HIV or hepatitis)"
"A5145","9","Sexually transmitted infections (not HIV or hepatitis)"
"A5146","9","Sexually transmitted infections (not HIV or hepatitis)"
"A5149","9","Sexually transmitted infections (not HIV or hepatitis)"
"A515","9","Sexually transmitted infections (not HIV or hepatitis)"
"A519","9","Sexually transmitted infections (not HIV or hepatitis)"
