"ICD-9-CM CODE","CCS CATEGORY","CCS CATEGORY DESCRIPTION"
"01511","1","Tuberculosis"
"01512","1","Tuberculosis"
"01513","1","Tuberculosis"
"01514","1","Tuberculosis"
"01515","1","Tuberculosis"
"01516","1","Tuberculosis"
"01520","1","Tuberculosis"
"01521","1","Tuberculosis"
"01522","1","Tuberculosis"
"01523","1","Tuberculosis"
"01524","1","Tuberculosis"
"01525","1","Tuberculosis"
"01526","1","Tuberculosis"
"01550","1","Tuberculosis"
"01551","1","Tuberculosis"
"01552","1","Tuberculosis"
"01553","1","Tuberculosis"
"01554","1","Tuberculosis"
"01555","1","Tuberculosis"
"01556","1","Tuberculosis"
"01560","1","Tuberculosis"
"01561","1","Tuberculosis"
"01562","1","Tuberculosis"
"01563","1","Tuberculosis"
"01564","1","Tuberculosis"
"01565","1","Tuberculosis"
"01566","1","Tuberculosis"
"01570","1","Tuberculosis"
"01571","1","Tuberculosis"
"01572","1","Tuberculosis"
"01573","1","Tuberculosis"
"01574","1","Tuberculosis"
"01575","1","Tuberculosis"
"01576","1","Tuberculosis"
"01580","1","Tuberculosis"
"01581","1","Tuberculosis"
"01582","1","Tuberculosis"
"01583","1","Tuberculosis"
"01584","1","Tuberculosis"
"01585","1","Tuberculosis"
"01586","1","Tuberculosis"
"01590","1","Tuberculosis"
"01591","1","Tuberculosis"
"01592","1","Tuberculosis"
"01593","1","Tuberculosis"
"01594","1","Tuberculosis"
"01595","1","Tuberculosis"
"01596","1","Tuberculosis"
"01600","1","Tuberculosis"
"01601","1","Tuberculosis"
"01602","1","Tuberculosis"
"01603","1","Tuberculosis"
"01604","1","Tuberculosis"
"01605","1","Tuberculosis"
"01606","1","Tuberculosis"
"01610","1","Tuberculosis"
"01611","1","Tuberculosis"
"01612","1","Tuberculosis"
"01613","1","Tuberculosis"
"01614","1","Tuberculosis"
"01615","1","Tuberculosis"
"01616","1","Tuberculosis"
"01620","1","Tuberculosis"
"01621","1","Tuberculosis"
"01622","1","Tuberculosis"
"01623","1","Tuberculosis"
"01624","1","Tuberculosis"
"01625","1","Tuberculosis"
"01626","1","Tuberculosis"
"01630","1","Tuberculosis"
"01631","1","Tuberculosis"
"01632","1","Tuberculosis"
"01633","1","Tuberculosis"
"01634","1","Tuberculosis"
"01635","1","Tuberculosis"
"01636","1","Tuberculosis"
"01640","1","Tuberculosis"
"01641","1","Tuberculosis"
"01642","1","Tuberculosis"
"01643","1","Tuberculosis"
"01644","1","Tuberculosis"
"01645","1","Tuberculosis"
"01646","1","Tuberculosis"
"01650","1","Tuberculosis"
"01651","1","Tuberculosis"
"01652","1","Tuberculosis"
"01653","1","Tuberculosis"
"01654","1","Tuberculosis"
"01655","1","Tuberculosis"
"01656","1","Tuberculosis"
"01660","1","Tuberculosis"
"01661","1","Tuberculosis"
"01662","1","Tuberculosis"
"01663","1","Tuberculosis"
"01664","1","Tuberculosis"
"01665","1","Tuberculosis"
"01666","1","Tuberculosis"
"01670","1","Tuberculosis"
"01671","1","Tuberculosis"
"01672","1","Tuberculosis"
"01673","1","Tuberculosis"
"01674","1","Tuberculosis"
"01675","1","Tuberculosis"
"01676","1","Tuberculosis"
"01690","1","Tuberculosis"
"01691","1","Tuberculosis"
"01692","1","Tuberculosis"
"01693","1","Tuberculosis"
"01694","1","Tuberculosis"
"01695","1","Tuberculosis"
"01696","1","Tuberculosis"
"01700","1","Tuberculosis"
"01701","1","Tuberculosis"
"01702","1","Tuberculosis"
"01703","1","Tuberculosis"
"01704","1","Tuberculosis"
"01705","1","Tuberculosis"
"01706","1","Tuberculosis"
"01710","1","Tuberculosis"
"01711","1","Tuberculosis"
"01712","1","Tuberculosis"
"01713","1","Tuberculosis"
"01714","1","Tuberculosis"
"01715","1","Tuberculosis"
"01716","1","Tuberculosis"
"01720","1","Tuberculosis"
"01721","1","Tuberculosis"
"01722","1","Tuberculosis"
"01723","1","Tuberculosis"
"01724","1","Tuberculosis"
"01725","1","Tuberculosis"
"01726","1","Tuberculosis"
"01730","1","Tuberculosis"
"01731","1","Tuberculosis"
"01732","1","Tuberculosis"
"01733","1","Tuberculosis"
"01734","1","Tuberculosis"
"01735","1","Tuberculosis"
"01736","1","Tuberculosis"
"01740","1","Tuberculosis"
"01741","1","Tuberculosis"
"01742","1","Tuberculosis"
"01743","1","Tuberculosis"
"01744","1","Tuberculosis"
"01745","1","Tuberculosis"
"01746","1","Tuberculosis"
"01750","1","Tuberculosis"
"01751","1","Tuberculosis"
"01752","1","Tuberculosis"
"01753","1","Tuberculosis"
"01754","1","Tuberculosis"
"01755","1","Tuberculosis"
"01756","1","Tuberculosis"
"01760","1","Tuberculosis"
"01761","1","Tuberculosis"
"01762","1","Tuberculosis"
"01763","1","Tuberculosis"
"01764","1","Tuberculosis"
"01765","1","Tuberculosis"
"01766","1","Tuberculosis"
"01770","1","Tuberculosis"
"01771","1","Tuberculosis"
"01772","1","Tuberculosis"
"01773","1","Tuberculosis"
"01774","1","Tuberculosis"
"01775","1","Tuberculosis"
"01776","1","Tuberculosis"
"01780","1","Tuberculosis"
"01781","1","Tuberculosis"
"01782","1","Tuberculosis"
"01783","1","Tuberculosis"
"01784","1","Tuberculosis"
"01785","1","Tuberculosis"
"01786","1","Tuberculosis"
"01790","1","Tuberculosis"
"01791","1","Tuberculosis"
"01792","1","Tuberculosis"
"01793","1","Tuberculosis"
"01794","1","Tuberculosis"
"01795","1","Tuberculosis"
"01796","1","Tuberculosis"
"01800","1","Tuberculosis"
"01801","1","Tuberculosis"
"01802","1","Tuberculosis"
"01803","1","Tuberculosis"
"01804","1","Tuberculosis"
"01805","1","Tuberculosis"
"01806","1","Tuberculosis"
"01880","1","Tuberculosis"
"01881","1","Tuberculosis"
"01882","1","Tuberculosis"
"01883","1","Tuberculosis"
"01884","1","Tuberculosis"
"01885","1","Tuberculosis"
"01886","1","Tuberculosis"
"01890","1","Tuberculosis"
"01891","1","Tuberculosis"
"01892","1","Tuberculosis"
"01893","1","Tuberculosis"
"01894","1","Tuberculosis"
"01895","1","Tuberculosis"
"01896","1","Tuberculosis"
"1370","1","Tuberculosis"
"1371","1","Tuberculosis"
"1372","1","Tuberculosis"
"1373","1","Tuberculosis"
"1374","1","Tuberculosis"
"V1201","1","Tuberculosis"
"7955","10","Immunizations and screening for infectious disease"
"79551","10","Immunizations and screening for infectious disease"
"79552","10","Immunizations and screening for infectious disease"
"7956","10","Immunizations and screening for infectious disease"
"79579","10","Immunizations and screening for infectious disease"
"V010","10","Immunizations and screening for infectious disease"
"V011","10","Immunizations and screening for infectious disease"
"V012","10","Immunizations and screening for infectious disease"
"V013","10","Immunizations and screening for infectious disease"
"V014","10","Immunizations and screening for infectious disease"
"V015","10","Immunizations and screening for infectious disease"
"V016","10","Immunizations and screening for infectious disease"
"V017","10","Immunizations and screening for infectious disease"
"V0171","10","Immunizations and screening for infectious disease"
"V0179","10","Immunizations and screening for infectious disease"
"V018","10","Immunizations and screening for infectious disease"
"V0181","10","Immunizations and screening for infectious disease"
"V0182","10","Immunizations and screening for infectious disease"
"V0183","10","Immunizations and screening for infectious disease"
"V0184","10","Immunizations and screening for infectious disease"
"V0189","10","Immunizations and screening for infectious disease"
"V019","10","Immunizations and screening for infectious disease"
"V020","10","Immunizations and screening for infectious disease"
"V021","10","Immunizations and screening for infectious disease"
"V022","10","Immunizations and screening for infectious disease"
"V023","10","Immunizations and screening for infectious disease"
"V024","10","Immunizations and screening for infectious disease"
"V025","10","Immunizations and screening for infectious disease"
"V0251","10","Immunizations and screening for infectious disease"
"V0252","10","Immunizations and screening for infectious disease"
"V0253","10","Immunizations and screening for infectious disease"
"V0254","10","Immunizations and screening for infectious disease"
"V0259","10","Immunizations and screening for infectious disease"
"V026","10","Immunizations and screening for infectious disease"
"V0260","10","Immunizations and screening for infectious disease"
"V0261","10","Immunizations and screening for infectious disease"
"V0262","10","Immunizations and screening for infectious disease"
"V0269","10","Immunizations and screening for infectious disease"
"V027","10","Immunizations and screening for infectious disease"
"V028","10","Immunizations and screening for infectious disease"
"V029","10","Immunizations and screening for infectious disease"
"V030","10","Immunizations and screening for infectious disease"
"V031","10","Immunizations and screening for infectious disease"
"V032","10","Immunizations and screening for infectious disease"
"V033","10","Immunizations and screening for infectious disease"
"V034","10","Immunizations and screening for infectious disease"
"V035","10","Immunizations and screening for infectious disease"
"V036","10","Immunizations and screening for infectious disease"
"V037","10","Immunizations and screening for infectious disease"
"V038","10","Immunizations and screening for infectious disease"
"V0381","10","Immunizations and screening for infectious disease"
"V0382","10","Immunizations and screening for infectious disease"
"V0389","10","Immunizations and screening for infectious disease"
"V039","10","Immunizations and screening for infectious disease"
"V040","10","Immunizations and screening for infectious disease"
"V041","10","Immunizations and screening for infectious disease"
"V042","10","Immunizations and screening for infectious disease"
"V043","10","Immunizations and screening for infectious disease"
"V044","10","Immunizations and screening for infectious disease"
"V045","10","Immunizations and screening for infectious disease"
"V046","10","Immunizations and screening for infectious disease"
"V047","10","Immunizations and screening for infectious disease"
"V048","10","Immunizations and screening for infectious disease"
"V0481","10","Immunizations and screening for infectious disease"
"V0482","10","Immunizations and screening for infectious disease"
"V0489","10","Immunizations and screening for infectious disease"
"V050","10","Immunizations and screening for infectious disease"
"V051","10","Immunizations and screening for infectious disease"
"V052","10","Immunizations and screening for infectious disease"
"V053","10","Immunizations and screening for infectious disease"
"V054","10","Immunizations and screening for infectious disease"
"V058","10","Immunizations and screening for infectious disease"
"V059","10","Immunizations and screening for infectious disease"
"V060","10","Immunizations and screening for infectious disease"
"V061","10","Immunizations and screening for infectious disease"
"V062","10","Immunizations and screening for infectious disease"
"V063","10","Immunizations and screening for infectious disease"
"V064","10","Immunizations and screening for infectious disease"
"V065","10","Immunizations and screening for infectious disease"
"V066","10","Immunizations and screening for infectious disease"
"V068","10","Immunizations and screening for infectious disease"
"V069","10","Immunizations and screening for infectious disease"
"V286","10","Immunizations and screening for infectious disease"
"V712","10","Immunizations and screening for infectious disease"
"V7182","10","Immunizations and screening for infectious disease"
"V7183","10","Immunizations and screening for infectious disease"
"V730","10","Immunizations and screening for infectious disease"
"V731","10","Immunizations and screening for infectious disease"
"V732","10","Immunizations and screening for infectious disease"
"V733","10","Immunizations and screening for infectious disease"
"V734","10","Immunizations and screening for infectious disease"
"V735","10","Immunizations and screening for infectious disease"
"V736","10","Immunizations and screening for infectious disease"
"V738","10","Immunizations and screening for infectious disease"
"V7381","10","Immunizations and screening for infectious disease"
"V7388","10","Immunizations and screening for infectious disease"
"V7389","10","Immunizations and screening for infectious disease"
"V739","10","Immunizations and screening for infectious disease"
"V7398","10","Immunizations and screening for infectious disease"
"V7399","10","Immunizations and screening for infectious disease"
"V740","10","Immunizations and screening for infectious disease"
"V741","10","Immunizations and screening for infectious disease"
"V742","10","Immunizations and screening for infectious disease"
"V743","10","Immunizations and screening for infectious disease"
"V744","10","Immunizations and screening for infectious disease"
"V745","10","Immunizations and screening for infectious disease"
"V746","10","Immunizations and screening for infectious disease"
"V748","10","Immunizations and screening for infectious disease"
"V749","10","Immunizations and screening for infectious disease"
"V750","10","Immunizations and screening for infectious disease"
"V751","10","Immunizations and screening for infectious disease"
"V752","10","Immunizations and screening for infectious disease"
"V753","10","Immunizations and screening for infectious disease"
"V754","10","Immunizations and screening for infectious disease"
"V755","10","Immunizations and screening for infectious disease"
"V756","10","Immunizations and screening for infectious disease"
"V757","10","Immunizations and screening for infectious disease"
"V758","10","Immunizations and screening for infectious disease"
"V759","10","Immunizations and screening for infectious disease"
"4100","100","Acute myocardial infarction"
"41000","100","Acute myocardial infarction"
"41001","100","Acute myocardial infarction"
"41002","100","Acute myocardial infarction"
"4101","100","Acute myocardial infarction"
"41010","100","Acute myocardial infarction"
"41011","100","Acute myocardial infarction"
"41012","100","Acute myocardial infarction"
"4102","100","Acute myocardial infarction"
"41020","100","Acute myocardial infarction"
"41021","100","Acute myocardial infarction"
"41022","100","Acute myocardial infarction"
"4103","100","Acute myocardial infarction"
"41030","100","Acute myocardial infarction"
"41031","100","Acute myocardial infarction"
"41032","100","Acute myocardial infarction"
"4104","100","Acute myocardial infarction"
"41040","100","Acute myocardial infarction"
"41041","100","Acute myocardial infarction"
"41042","100","Acute myocardial infarction"
"4105","100","Acute myocardial infarction"
"41050","100","Acute myocardial infarction"
"41051","100","Acute myocardial infarction"
"41052","100","Acute myocardial infarction"
"4106","100","Acute myocardial infarction"
"41060","100","Acute myocardial infarction"
"41061","100","Acute myocardial infarction"
"41062","100","Acute myocardial infarction"
"4107","100","Acute myocardial infarction"
"41070","100","Acute myocardial infarction"
"41071","100","Acute myocardial infarction"
"41072","100","Acute myocardial infarction"
"4108","100","Acute myocardial infarction"
"41080","100","Acute myocardial infarction"
"41081","100","Acute myocardial infarction"
"41082","100","Acute myocardial infarction"
"4109","100","Acute myocardial infarction"
"41090","100","Acute myocardial infarction"
"41091","100","Acute myocardial infarction"
"41092","100","Acute myocardial infarction"
"4110","101","Coronary atherosclerosis and other heart disease"
"4111","101","Coronary atherosclerosis and other heart disease"
"4118","101","Coronary atherosclerosis and other heart disease"
"41181","101","Coronary atherosclerosis and other heart disease"
"41189","101","Coronary atherosclerosis and other heart disease"
"412","101","Coronary atherosclerosis and other heart disease"
"4130","101","Coronary atherosclerosis and other heart disease"
"4131","101","Coronary atherosclerosis and other heart disease"
"4139","101","Coronary atherosclerosis and other heart disease"
"4140","101","Coronary atherosclerosis and other heart disease"
"41400","101","Coronary atherosclerosis and other heart disease"
"41401","101","Coronary atherosclerosis and other heart disease"
"41406","101","Coronary atherosclerosis and other heart disease"
"4142","101","Coronary atherosclerosis and other heart disease"
"4143","101","Coronary atherosclerosis and other heart disease"
"4144","101","Coronary atherosclerosis and other heart disease"
"4148","101","Coronary atherosclerosis and other heart disease"
"4149","101","Coronary atherosclerosis and other heart disease"
"V4581","101","Coronary atherosclerosis and other heart disease"
"V4582","101","Coronary atherosclerosis and other heart disease"
"78650","102","Nonspecific chest pain"
"78651","102","Nonspecific chest pain"
"78659","102","Nonspecific chest pain"
"4150","103","Pulmonary heart disease"
"4151","103","Pulmonary heart disease"
"41512","103","Pulmonary heart disease"
"41513","103","Pulmonary heart disease"
"41519","103","Pulmonary heart disease"
"4160","103","Pulmonary heart disease"
"4161","103","Pulmonary heart disease"
"4162","103","Pulmonary heart disease"
"4168","103","Pulmonary heart disease"
"4169","103","Pulmonary heart disease"
"4170","103","Pulmonary heart disease"
"4171","103","Pulmonary heart disease"
"4178","103","Pulmonary heart disease"
"4179","103","Pulmonary heart disease"
"V1255","103","Pulmonary heart disease"
"41410","104","Other and ill-defined heart disease"
"41411","104","Other and ill-defined heart disease"
"41412","104","Other and ill-defined heart disease"
"41419","104","Other and ill-defined heart disease"
"4291","104","Other and ill-defined heart disease"
"4292","104","Other and ill-defined heart disease"
"4293","104","Other and ill-defined heart disease"
"4295","104","Other and ill-defined heart disease"
"4296","104","Other and ill-defined heart disease"
"42971","104","Other and ill-defined heart disease"
"42979","104","Other and ill-defined heart disease"
"42981","104","Other and ill-defined heart disease"
"42982","104","Other and ill-defined heart disease"
"42983","104","Other and ill-defined heart disease"
"42989","104","Other and ill-defined heart disease"
"4299","104","Other and ill-defined heart disease"
"4260","105","Conduction disorders"
"42610","105","Conduction disorders"
"42611","105","Conduction disorders"
"42612","105","Conduction disorders"
"42613","105","Conduction disorders"
"4262","105","Conduction disorders"
"4263","105","Conduction disorders"
"4264","105","Conduction disorders"
"42650","105","Conduction disorders"
"42651","105","Conduction disorders"
"42652","105","Conduction disorders"
"42653","105","Conduction disorders"
"42654","105","Conduction disorders"
"4266","105","Conduction disorders"
"4267","105","Conduction disorders"
"42681","105","Conduction disorders"
"42682","105","Conduction disorders"
"42689","105","Conduction disorders"
"4269","105","Conduction disorders"
"V450","105","Conduction disorders"
"V4500","105","Conduction disorders"
"V4501","105","Conduction disorders"
"V4502","105","Conduction disorders"
"V4509","105","Conduction disorders"
"V533","105","Conduction disorders"
"V5331","105","Conduction disorders"
"V5332","105","Conduction disorders"
"V5339","105","Conduction disorders"
"4270","106","Cardiac dysrhythmias"
"4271","106","Cardiac dysrhythmias"
"4272","106","Cardiac dysrhythmias"
"42731","106","Cardiac dysrhythmias"
"42732","106","Cardiac dysrhythmias"
"42760","106","Cardiac dysrhythmias"
"42761","106","Cardiac dysrhythmias"
"42769","106","Cardiac dysrhythmias"
"42781","106","Cardiac dysrhythmias"
"42789","106","Cardiac dysrhythmias"
"4279","106","Cardiac dysrhythmias"
"7850","106","Cardiac dysrhythmias"
"7851","106","Cardiac dysrhythmias"
"42741","107","Cardiac arrest and ventricular fibrillation"
"42742","107","Cardiac arrest and ventricular fibrillation"
"4275","107","Cardiac arrest and ventricular fibrillation"
"39891","108","Congestive heart failure; nonhypertensive"
"4280","108","Congestive heart failure; nonhypertensive"
"4281","108","Congestive heart failure; nonhypertensive"
"42820","108","Congestive heart failure; nonhypertensive"
"42821","108","Congestive heart failure; nonhypertensive"
"42822","108","Congestive heart failure; nonhypertensive"
"42823","108","Congestive heart failure; nonhypertensive"
"42830","108","Congestive heart failure; nonhypertensive"
"42831","108","Congestive heart failure; nonhypertensive"
"42832","108","Congestive heart failure; nonhypertensive"
"42833","108","Congestive heart failure; nonhypertensive"
"42840","108","Congestive heart failure; nonhypertensive"
"42841","108","Congestive heart failure; nonhypertensive"
"42842","108","Congestive heart failure; nonhypertensive"
"42843","108","Congestive heart failure; nonhypertensive"
"4289","108","Congestive heart failure; nonhypertensive"
"34660","109","Acute cerebrovascular disease"
"34661","109","Acute cerebrovascular disease"
"34662","109","Acute cerebrovascular disease"
"34663","109","Acute cerebrovascular disease"
"430","109","Acute cerebrovascular disease"
"431","109","Acute cerebrovascular disease"
"4320","109","Acute cerebrovascular disease"
"4321","109","Acute cerebrovascular disease"
"4329","109","Acute cerebrovascular disease"
"43301","109","Acute cerebrovascular disease"
"43311","109","Acute cerebrovascular disease"
"43321","109","Acute cerebrovascular disease"
"43331","109","Acute cerebrovascular disease"
"43381","109","Acute cerebrovascular disease"
"43391","109","Acute cerebrovascular disease"
"4340","109","Acute cerebrovascular disease"
"43400","109","Acute cerebrovascular disease"
"43401","109","Acute cerebrovascular disease"
"4341","109","Acute cerebrovascular disease"
"43410","109","Acute cerebrovascular disease"
"43411","109","Acute cerebrovascular disease"
"4349","109","Acute cerebrovascular disease"
"43490","109","Acute cerebrovascular disease"
"43491","109","Acute cerebrovascular disease"
"436","109","Acute cerebrovascular disease"
"1400","11","Cancer of head and neck"
"1401","11","Cancer of head and neck"
"1403","11","Cancer of head and neck"
"1404","11","Cancer of head and neck"
"1405","11","Cancer of head and neck"
"1406","11","Cancer of head and neck"
"1408","11","Cancer of head and neck"
"1409","11","Cancer of head and neck"
"1410","11","Cancer of head and neck"
"1411","11","Cancer of head and neck"
"1412","11","Cancer of head and neck"
"1413","11","Cancer of head and neck"
"1414","11","Cancer of head and neck"
"1415","11","Cancer of head and neck"
"1416","11","Cancer of head and neck"
"1418","11","Cancer of head and neck"
"1419","11","Cancer of head and neck"
"1420","11","Cancer of head and neck"
"1421","11","Cancer of head and neck"
"1422","11","Cancer of head and neck"
"1428","11","Cancer of head and neck"
"1429","11","Cancer of head and neck"
"1430","11","Cancer of head and neck"
"1431","11","Cancer of head and neck"
"1438","11","Cancer of head and neck"
"1439","11","Cancer of head and neck"
"1440","11","Cancer of head and neck"
"1441","11","Cancer of head and neck"
"1448","11","Cancer of head and neck"
"1449","11","Cancer of head and neck"
"1450","11","Cancer of head and neck"
"1451","11","Cancer of head and neck"
"1452","11","Cancer of head and neck"
"1453","11","Cancer of head and neck"
"1454","11","Cancer of head and neck"
"1455","11","Cancer of head and neck"
"1456","11","Cancer of head and neck"
"1458","11","Cancer of head and neck"
"1459","11","Cancer of head and neck"
"1460","11","Cancer of head and neck"
"1461","11","Cancer of head and neck"
"1462","11","Cancer of head and neck"
"1463","11","Cancer of head and neck"
"1464","11","Cancer of head and neck"
"1465","11","Cancer of head and neck"
"1466","11","Cancer of head and neck"
"1467","11","Cancer of head and neck"
"1468","11","Cancer of head and neck"
"1469","11","Cancer of head and neck"
"1470","11","Cancer of head and neck"
"1471","11","Cancer of head and neck"
"1472","11","Cancer of head and neck"
"1473","11","Cancer of head and neck"
"1478","11","Cancer of head and neck"
"1479","11","Cancer of head and neck"
"1480","11","Cancer of head and neck"
"1481","11","Cancer of head and neck"
"1482","11","Cancer of head and neck"
"1483","11","Cancer of head and neck"
"1488","11","Cancer of head and neck"
"1489","11","Cancer of head and neck"
"1490","11","Cancer of head and neck"
"1491","11","Cancer of head and neck"
"1498","11","Cancer of head and neck"
"1499","11","Cancer of head and neck"
"1600","11","Cancer of head and neck"
"1601","11","Cancer of head and neck"
"1602","11","Cancer of head and neck"
"1603","11","Cancer of head and neck"
"1604","11","Cancer of head and neck"
"1605","11","Cancer of head and neck"
"1608","11","Cancer of head and neck"
"1609","11","Cancer of head and neck"
"1610","11","Cancer of head and neck"
"1611","11","Cancer of head and neck"
"1612","11","Cancer of head and neck"
"1613","11","Cancer of head and neck"
"1618","11","Cancer of head and neck"
"1619","11","Cancer of head and neck"
"1950","11","Cancer of head and neck"
"2300","11","Cancer of head and neck"
